gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
Slc35a5	2.5560923564965234	6.074111538047765	19.768737525778246	5.079588371659305e-08	2.60582245410864e-06	9.315451724866577
Rnf144a	3.2714223591765963	5.674509672160879	19.748715601617185	5.119759927695014e-08	2.60582245410864e-06	9.318659910369814
Nusap1	2.368310051590946	7.921792491993127	19.73167972012558	5.1542216772122566e-08	2.60582245410864e-06	9.296386533220632
Pirb	5.76197792606731	5.4149341026824285	19.719530413550043	5.178957698551983e-08	2.60582245410864e-06	9.3154210892815
Cyfip2	2.3650387782797493	9.061763671608514	19.65774665410776	5.3068324844508623e-08	2.6326311483279986e-06	9.282698989233808
Stk10	2.69417215504523	6.902105596404977	19.630336152819932	5.3646979564441237e-08	2.650294351428371e-06	9.247696912644535
Asf1b	2.3035969125443128	8.053809251011948	19.498855645375638	5.6523079271212635e-08	2.758048286078105e-06	9.201838644596664
Dok2	2.960306198677497	4.316755365614165	19.444790736768876	5.775570002065004e-08	2.8066912834524875e-06	9.233888736166442
Lasp1	2.2983694469669302	8.560647300477713	19.432513094644584	5.803980841119563e-08	2.8090323534296554e-06	9.181761191286252
Arid3b	4.230335132212301	3.8585520412026124	19.417088983991064	5.839895582820632e-08	2.814971530731273e-06	9.217714851040402
Ncf4	3.2047193111203054	8.245742021939133	19.40572489253143	5.866516479424033e-08	2.8164010162912312e-06	9.165729868285549
Chil4	8.817645448529571	-0.5110281942835444	19.29116497010363	6.142633466663438e-08	2.937116227072084e-06	7.57246700684215
Pfkfb4	4.2682473837656705	6.111820803250622	19.2604249506726	6.219189163728197e-08	2.961826647333917e-06	9.103327252512326
Lcp2	2.171316127545677	7.580779418238105	19.24371836696111	6.261245054614042e-08	2.9649592844755113e-06	9.08895938727703
Pdlim2	3.2689988720918635	4.669851230383023	19.234406615630487	6.28482442467545e-08	2.9649592844755113e-06	9.142534480893955
Ica1	2.1873996130670497	6.328765049330647	19.22824720572701	6.300476221840285e-08	2.9649592844755113e-06	9.084932219100153
Klf6	3.179248167668719	6.815402053802233	19.149139512096756	6.505442380088743e-08	3.0255389444272103e-06	9.045818263889302
Gramd2	9.119483064164227	-0.3179612604973654	19.118753039916484	6.58615670558398e-08	3.0393326254528246e-06	7.685742917566338
Cd300lf	7.7503812251220925	3.8620025430567924	19.014594361032433	6.871491592945846e-08	3.110543431821559e-06	9.05849115286434
Tmem216	3.3401108094274248	5.693727492950836	18.979526817884842	6.970662336869815e-08	3.129972825682278e-06	8.997221831015867
Tmem63a	2.25229653554808	7.114589512362535	18.971745940207402	6.992884021766218e-08	3.129972825682278e-06	8.969761846145934
Atp2a3	2.2469209158223515	8.774562283227235	18.959616302536894	7.02768445879282e-08	3.1314052793087227e-06	8.985824442860515
Slc25a24	3.3137621532482893	6.066806905398918	18.9474226530844	7.062864850203731e-08	3.1314052793087227e-06	8.971365748205152
Nhsl2	3.285129079401777	7.243995333315414	18.943236680430644	7.074987570418667e-08	3.1314052793087227e-06	8.95803665768681
Tuba1c	2.2838141539765227	8.980048205712599	18.90707821726258	7.180682667719962e-08	3.1547309166743127e-06	8.966967595062922
Mkl1	2.0672776684969554	7.094795700357699	18.728351984953676	7.729881975948027e-08	3.35883119728603e-06	8.86430393637324
Stx2	2.6659913580022656	4.805211219008241	18.632154571320978	8.04492505538668e-08	3.4562099051087936e-06	8.885858593639652
G0s2	4.854672600587262	2.69249462522859	18.573849170842905	8.242885106714423e-08	3.480134400019217e-06	8.800160433238876
Gnal	2.4074336281221678	5.650267159644722	18.56005470334994	8.290517419291733e-08	3.4878763390136884e-06	8.817911506127993
Rap1gap2	4.546151722870675	3.583594168823902	18.538523596143232	8.365483802471638e-08	3.4947175492009588e-06	8.857996507345877
AI467606	2.194769013760401	7.1810420906578365	18.516647924059676	8.442430941834653e-08	3.5145308669050127e-06	8.77169301083432
Serpinb1a	2.5147939293994597	9.772255015247955	18.465009677522225	8.627241882753115e-08	3.5511267626291905e-06	8.790523881809351
Cd24a	2.4459269406364363	8.908560767978662	18.45966806943319	8.646617312342915e-08	3.5511267626291905e-06	8.771577517738152
Lpcat1	2.511872304445075	6.262557690534335	18.45883451859737	8.64964523066072e-08	3.5511267626291905e-06	8.753630560672459
Gys1	2.254579903327069	7.457012274647865	18.441528892142347	8.712778797750132e-08	3.5533367854640337e-06	8.740404501379242
Dgkg	2.3512017380834136	5.816469101171125	18.44099953010901	8.714718136699966e-08	3.5533367854640337e-06	8.759260136959252
Adtrp	8.393857924762264	-0.7227325463345157	18.425158304574108	8.77297815864528e-08	3.564883206717771e-06	7.211627876981374
Xdh	2.614867676622281	7.486599694696161	18.415584471681214	8.808400420299854e-08	3.5671025647649683e-06	8.72918084121351
Adamtsl3	8.608131356353258	-0.5797182589714268	18.395491485679244	8.883266365353757e-08	3.5852260795220957e-06	7.31674769434998
Kifc1	2.0904920557510485	6.867473079635822	18.374985786144695	8.960408104424534e-08	3.6041425301107604e-06	8.708623379042407
R3hdm4	2.1648146212183317	8.050005928964996	18.34727937345628	9.065837149182088e-08	3.631720730266547e-06	8.706443618504514
Hmox1	3.5423205701001144	4.711279745161067	18.34098617630216	9.089977974293894e-08	3.631720730266547e-06	8.764557869835365
Tbc1d8	3.384505927099866	6.930024558096907	18.30540318943297	9.227841336827001e-08	3.6744708681024172e-06	8.677466040583667
Rab3d	2.3364798542995544	8.127877442977683	18.24315113175049	9.4747200097121e-08	3.747708187230308e-06	8.661280548100716
Mlst8	2.453434965944674	6.849951760541251	18.19821739274482	9.657530694152838e-08	3.7823210672560425e-06	8.62957030202216
E330009J07Rik	3.3290100838546466	5.200920817033407	18.14858029347113	9.864099001959786e-08	3.837972637821347e-06	8.656849198881169
Sema4a	2.2868203363611563	7.7885857746586975	18.09208817200514	1.0105258745741104e-07	3.918997088820637e-06	8.587992478137377
Ikzf1	2.3156564728963867	8.460540936945069	18.069807016140665	1.0202191037321558e-07	3.943743067868522e-06	8.589385109046244
Tmcc1	2.7071605455678878	5.497520803326724	18.008989406257886	1.0472133767479209e-07	4.026903045065232e-06	8.58019609252225
Hvcn1	2.62048514168686	8.3685348175397	18.00614251503719	1.0484965092980195e-07	4.026903045065232e-06	8.558872861012011
Rhou	4.473804944727468	3.0985425450839963	17.983409168593017	1.0588063467130351e-07	4.053423911242893e-06	8.605157191146915
Zbtb7b	3.0746248103032747	4.584177141389638	17.972464381400954	1.0638105184066698e-07	4.059528215432632e-06	8.608847290183128
Lyst	2.222145280391321	7.039482119167017	17.950935268865482	1.0737317913184831e-07	4.084297350619124e-06	8.517343007957663
Ckap4	3.7157071316797214	6.386874852874716	17.917288902235345	1.0894459554945082e-07	4.130873740801788e-06	8.507557969048785
Nfam1	2.142278815039476	8.730046588661583	17.89994100709765	1.0976489428457826e-07	4.142906550469399e-06	8.51774505611473
Dgka	2.44025031326583	5.614563008611441	17.895880943552505	1.0995787585657065e-07	4.142906550469399e-06	8.523711314525995
Ndc80	2.196763282276053	6.679737563199744	17.88246699318766	1.1059817865781008e-07	4.153886167507529e-06	8.487338434734102
Sri	2.182365484700524	7.773316637070825	17.87424107932248	1.1099290696909464e-07	4.155602359666795e-06	8.488691304396166
Cotl1	2.469507464342393	7.077209801803944	17.855427257861056	1.1190167013631328e-07	4.169209963603736e-06	8.473712151200115
Ints12	2.280915505118055	6.016776183582913	17.841956464482074	1.1255748517657572e-07	4.1747956963000325e-06	8.48308565375968
Kif23	2.1161156398268375	7.434737974115255	17.828842081044602	1.1320009983278093e-07	4.185591268972328e-06	8.463723254433498
Paqr7	2.2508637721150713	6.444349502013967	17.799201223487593	1.1466776713722414e-07	4.213686529431452e-06	8.452352040384906
